"Subject","Start Date","Start Time","End Date","End Time","All day event","Location","Description"
"Tennis v Marlborough College: 2nd VI, 3rd VI, U15A, U15B (A). U16A, U16B, U16C, U14A, U14B (H).","2014-5-3","2:00:00 PM","","3:00:00 PM","False","",""
"Tennis Independent Schools League Round 2","2014-5-3","2:00:00 PM","","3:00:00 PM","False","",""
"3rd Sunday of Easter","2014-5-4","","","","True","",""
"Wallingford Regatta, J15-J18 (Yr.4-U6)","2014-5-4","","","","True","",""
"WEEK A","2014-5-5","","","","True","",""
"Bank Holiday","2014-5-5","","","","True","",""
"DofE Bronze practice catch-up (until 6th May)","2014-5-5","","","","True","",""
"WEEK A","2014-5-6","","","","True","",""
"L6 AS Unit 2a Tech Rehearsals, St Helen’s Drama Studio","2014-5-6","9:00:00 AM","","6:00:00 PM","False","",""
"AS and A2 Art Exams","2014-5-6","9:00:00 AM","","9:00:00 AM","False","",""
"AS German Orals","2014-5-6","9:00:00 AM","","9:00:00 AM","False","",""
"AS French Orals (until 8th May)","2014-5-6","9:00:00 AM","","9:00:00 AM","False","",""
"Cricket v Cherwell School (Lord Tavernor's Cup): 14A (H)","2014-5-6","4:00:00 PM","","7:00:00 PM","False","",""
"Athletics: Medley Relays, Middle & Upper School at Radley","2014-5-6","6:30:00 PM","","6:30:00 PM","False","",""
"WEEK A","2014-5-7","","","","True","",""
"House Assembly","2014-5-7","8:45:00 AM","","9:00:00 AM","False","",""
"L6 AS Unit 2a Monologue Dress Rehearsals, St Helen’s Drama Studio","2014-5-7","9:00:00 AM","","5:00:00 PM","False","",""
"Russian Orals","2014-5-7","9:00:00 AM","","9:00:00 AM","False","",""
"GCSE Italian Orals","2014-5-7","9:00:00 AM","","9:00:00 AM","False","",""
"AS and A2 Art Exams","2014-5-7","9:00:00 AM","","9:00:00 AM","False","",""
"GCSEs begin","2014-5-7","9:00:00 AM","","9:00:00 AM","False","",""
"CCF Biennial Inspection","2014-5-7","9:00:00 AM","","9:00:00 AM","False","",""
"SUS (School Uniform Scheme)","2014-5-7","12:15:00 PM","","1:15:00 PM","False","",""
"Cricket v Stowe: 1st, 3rd, 16A, 15A, 15B, 15C (A); 2nd, 4th, 14A, 14B, 14C (H)","2014-5-7","2:00:00 PM","","7:00:00 PM","False","",""
"Tennis v Stowe: 1st VI, 2nd VI, 3rd VI, U16A, U16B, U15A, U15B, U14A, U14B (A)","2014-5-7","3:00:00 PM","","4:00:00 PM","False","",""
"Governors' meeting ARC","2014-5-7","4:30:00 PM","","4:30:00 PM","False","",""
"Upper and Lower Sixth: visit from London University (LSE, King's Imperial, UCL), Amey Theatre","2014-5-7","5:30:00 PM","","5:30:00 PM","False","","APS"
"WEEK A","2014-5-8","","","","True","",""
"A2 Art Exam","2014-5-8","9:00:00 AM","","9:00:00 AM","False","",""
"Young Enterprise County Final, Said Business School, Oxford (time tbc)","2014-5-8","4:00:00 PM","","4:00:00 PM","False","",""
"L6 AS Unit 2a Monologue exam","2014-5-8","4:00:00 PM","","8:00:00 PM","False","","4pm (for 4.30pm)-8pm"
"Governors' meeting: Finance (extra meeting –reserve date)","2014-5-8","4:30:00 PM","","4:30:00 PM","False","",""
"Lower Sixth revision leave begins (return Tuesday 3rd June","2014-5-8","5:15:00 PM","","5:15:00 PM","False","",""
"1st Year Parents' Evening, CMR","2014-5-8","5:30:00 PM","","5:30:00 PM","False","",""
"WEEK A","2014-5-9","","","","True","",""
"A2 Spanish Orals","2014-5-9","9:00:00 AM","","9:00:00 AM","False","",""
"Genesis, Hospitality Suite","2014-5-9","9:30:00 AM","","5:30:00 PM","False","","MKTH"
"Lunchtime Informal Concert, Amey Theatre foyer","2014-5-9","1:10:00 PM","","1:10:00 PM","False","",""
"Detention Duty master: Mr Christodoulou","2014-5-9","5:00:00 PM","","7:00:00 PM","False","",""
"Joint Lower School Quiz Night, Entertainment Suite","2014-5-9","7:00:00 PM","","9:30:00 PM","False","","AJJ"
"Christodoulou's House Upper Sixth Leavers' Formal Dinner, Avernus","2014-5-9","7:00:00 PM","","7:00:00 PM","False","",""
"Duty Masters: Mr J Taylor and Mr Edgar","2014-5-10","","","","True","",""
"Rowing: Bedford Regatta, J14-J18 (Yr.3-U6)","2014-5-10","","","","True","",""
"Lower School Production Tech/Dress rehearsal 1, Amey Theatre","2014-5-10","10:00:00 AM","","4:00:00 PM","False","",""
"SUS (School Uniform Scheme)","2014-5-10","11:00:00 AM","","12:00:00 PM","False","",""
"Cricket v Cheltenham College: 1st (1130), 14A, 14B, 14C (A); 2nd, 15A, 15B, 15C (H)","2014-5-10","2:00:00 PM","","7:00:00 PM","False","",""
"Tennis v Bradfield College: 1st VI, 2nd VI, U16A (A); U15A, U15B, U15C, U14A, U14B, U14C (H).","2014-5-10","2:00:00 PM","","3:00:00 PM","False","",""
"4th Sunday of Easter","2014-5-11","","","","True","",""
"Lower School Production Tech/Dress rehearsal 2, Amey Theatre","2014-5-11","2:00:00 PM","","6:00:00 PM","False","",""
"WEEK B","2014-5-12","","","","True","",""
"Lower School Production Dress rehearsal 1, Amey Theatre","2014-5-12","8:45:00 AM","","12:45:00 PM","False","",""
"AS exams begin","2014-5-12","9:00:00 AM","","9:00:00 AM","False","",""
"RAF liaison interviews 4th Yr and up, Careers Library","2014-5-12","10:30:00 AM","","10:30:00 AM","False","",""
"AS OCR Music Listening Paper, Sports Hall (tbc)","2014-5-12","12:00:00 PM","","12:00:00 PM","False","",""
"WEEK B","2014-5-13","","","","True","",""
"OA Golf Day, Frilford Heath Golf Club","2014-5-13","8:00:00 AM","","8:00:00 AM","False","",""
"Athletics: Vale Championship, Middle & Upper School, Radley","2014-5-13","2:30:00 PM","","2:30:00 PM","False","",""
"Cricket v St Birinus (Oxon Cup): 12A (H)","2014-5-13","3:30:00 PM","","6:00:00 PM","False","",""
"Tennis v Dragon: U13A, U13B, U12A, U12B (A).","2014-5-13","4:00:00 PM","","5:00:00 PM","False","",""
"POSTPONED - Lower School Production Performance 1, Amey Theatre","2014-5-13","7:00:00 PM","","9:00:00 PM","False","",""
"WEEK B","2014-5-14","","","","True","",""
"Head's Assembly","2014-5-14","8:45:00 AM","","9:00:00 AM","False","",""
"SUS (School Uniform Scheme)","2014-5-14","12:15:00 PM","","1:15:00 PM","False","",""
"Tennis v Pangbourne College: 2nd VI, 3rd VI (A).","2014-5-14","2:00:00 PM","","3:00:00 PM","False","",""
"Lower School Production Dress rehearsal 2, Amey Theatre","2014-5-14","2:30:00 PM","","5:00:00 PM","False","",""
"Cricket v MCS: 15A (H)","2014-5-14","3:00:00 PM","","7:00:00 PM","False","",""
"Cricket v Shiplake: 14B, 14C (H)","2014-5-14","3:00:00 PM","","6:00:00 PM","False","",""
"POSTPONED - Lower School Production, Performance 2, Amey Theatre","2014-5-14","7:00:00 PM","","9:00:00 PM","False","",""
"WEEK B","2014-5-15","","","","True","",""
"Maths talk: Evan Innis, Ocado (for 3rd Year - in lessons), Amey Theatre","2014-5-15","12:00:00 PM","","1:00:00 PM","False","",""
"Cricket: Staff v Dragon (A)","2014-5-15","6:00:00 PM","","10:00:00 PM","False","",""
"Parents' Prayer Group meeting, Abingdon Prep","2014-5-15","8:00:00 PM","","8:00:00 PM","False","",""
"WEEK B","2014-5-16","","","","True","",""
"French Exchange: Aix en Provence to Abingdon (until 23rd May)","2014-5-16","","","","True","",""
"Athletics: ESAA, Lower & Middle School at Horspath","2014-5-16","10:00:00 AM","","10:00:00 AM","False","",""
"Lunchtime Informal Concert, Amey Theatre foyer","2014-5-16","1:10:00 PM","","1:10:00 PM","False","",""
"Detention Duty Master: Mr Kendry","2014-5-16","5:00:00 PM","","7:00:00 PM","False","",""
"ASPA whole school event (off site)","2014-5-16","7:30:00 PM","","7:30:00 PM","False","",""
"Duty Masters: Mr Bliss and Mrs Wigmore","2014-5-17","","","","True","",""
"Taster Morning (3rd Year 2016)","2014-5-17","9:30:00 AM","","12:00:00 PM","False","",""
"CANCELLED - Lower School Judo Workshop with Paralympian Ian Rose","2014-5-17","10:00:00 AM","","10:00:00 AM","False","","AJJ"
"Cricket v Bloxham: 13's, 12's (H)","2014-5-17","10:30:00 AM","","1:00:00 PM","False","",""
"SUS (School Uniform Scheme)","2014-5-17","11:00:00 AM","","12:00:00 PM","False","",""
"Cricket v St Edward's: 1st (1130), 16A, 15A, 15B, 15C (H); 2nd, 3rd, 14A, 14B, 14C (A)","2014-5-17","2:00:00 PM","","7:00:00 PM","False","",""
"Tennis v Eton College: 1st VI, 2nd VI, 3rd VI, U16A, U16B (H), U15A, U15B, U15C, U14A, U14B, U14C, U13A (A).","2014-5-17","2:00:00 PM","","3:00:00 PM","False","",""
"5th Sunday of Easter","2014-5-18","","","","True","",""
"WEEK A","2014-5-19","","","","True","",""
"Parental Q & A on next year's tutoring, Amey Theatre","2014-5-19","6:30:00 PM","","6:30:00 PM","False","",""
"WEEK A","2014-5-20","","","","True","",""
"Athletics match: Middle & Upper School at Radley","2014-5-20","2:30:00 PM","","2:30:00 PM","False","",""
"Cricket v Cokethorpe: 13A, 13B (A); 12A, 12B (H)","2014-5-20","3:00:00 PM","","6:00:00 PM","False","",""
"Tennis v Moulsford: U13 VIII (A), U12 VIII (H).","2014-5-20","3:00:00 PM","","4:00:00 PM","False","",""
"Boarders' Chapel Service","2014-5-20","6:00:00 PM","","6:00:00 PM","False","",""
"Parental Q & A on next year's tutoring, Amey Theatre & Ingham Room","2014-5-20","6:30:00 PM","","6:30:00 PM","False","",""
"WEEK A","2014-5-21","","","","True","",""
"House Assembly (last for U6)","2014-5-21","8:45:00 AM","","9:00:00 AM","False","",""
"Sex and Relationships Education morning for 3rd Year","2014-5-21","9:00:00 AM","","9:00:00 AM","False","","RSS"
"CCF: RAF flying","2014-5-21","10:30:00 AM","","5:00:00 PM","False","",""
"SUS (School Uniform Scheme)","2014-5-21","12:15:00 PM","","1:15:00 PM","False","",""
"Cricket v Lord Williams' School (Lord Tavernor's Cup): 14A (A)","2014-5-21","2:00:00 PM","","2:00:00 PM","False","",""
"Tennis v St Hugh's: U13VIII (A).","2014-5-21","2:00:00 PM","","3:00:00 PM","False","",""
"Tennis v Shiplake College: Senior X, U15VI (A).","2014-5-21","2:00:00 PM","","3:00:00 PM","False","",""
"Golf v St Edwards, Drayton Golf Club","2014-5-21","3:00:00 PM","","3:00:00 PM","False","",""
"Cricket v King Alfred's (Oxon Cup): 15A (H)","2014-5-21","4:00:00 PM","","7:00:00 PM","False","",""
"Governors' Education Committee meeting","2014-5-21","5:30:00 PM","","5:30:00 PM","False","","DJD"
"Junior Scholars' Concert, Amey Theatre","2014-5-21","7:00:00 PM","","7:00:00 PM","False","","admission free "
"Abingdon Naturalists, Ingham Room","2014-5-21","7:00:00 PM","","7:00:00 PM","False","",""
"WEEK A","2014-5-22","","","","True","",""
"Tennis v Oratory: Senior VI (A).","2014-5-22","4:00:00 PM","","5:00:00 PM","False","",""
"Detention Duty master: Mr Gooding","2014-5-22","5:00:00 PM","","7:00:00 PM","False","",""
"GCSE Art Exhibition","2014-5-22","5:00:00 PM","","7:00:00 PM","False","",""
"PSHCE staff training, Ingham Room","2014-5-22","5:15:00 PM","","5:15:00 PM","False","",""
"Cricket: Staff v Emeriti (H)","2014-5-22","6:00:00 PM","","9:00:00 PM","False","",""
"WEEK A","2014-5-23","","","","True","",""
"Rowing: National Schools' Regatta - all years (until 25th May)","2014-5-23","","","","True","",""
"Upper Sixth Leavers' Day","2014-5-23","8:35:00 AM","","8:35:00 AM","False","",""
"Music: Upper Sixth Leavers' Day - Jazz with Aidan Thorne Quartet, Amey Theatre","2014-5-23","10:30:00 AM","","10:30:00 AM","False","",""
"Upper Sixth revision leave begins","2014-5-23","1:00:00 PM","","1:00:00 PM","False","",""
"Lunchtime Informal Concert, Amey Theatre foyer","2014-5-23","1:10:00 PM","","1:10:00 PM","False","",""
"Half-term begins","2014-5-23","5:15:00 PM","","5:15:00 PM","False","",""
"ASPA BBQ","2014-5-23","7:00:00 PM","","11:00:00 PM","False","",""
"CCF Leavers' Dinner, Edward Brookes Barracks","2014-5-23","7:00:00 PM","","7:00:00 PM","False","","EAK"
"Half Term","2014-5-24","","","","True","",""
"Tennis Road to Wimbledon: U14, U13, U12 (H).","2014-5-24","10:00:00 AM","","11:00:00 AM","False","",""
"6th Sunday of Easter","2014-5-25","","","","True","",""
"Half Term","2014-5-25","","","","True","",""
"Half Term","2014-5-26","","","","True","",""
"Half Term","2014-5-27","","","","True","",""
"Half Term","2014-5-28","","","","True","",""
"Ascension Day","2014-5-29","","","","True","",""
"Half Term","2014-5-29","","","","True","",""
"Half Term","2014-5-30","","","","True","",""
"Half Term","2014-5-31","","","","True","",""
"SUS (School Uniform Scheme)","2014-5-31","11:00:00 AM","","12:00:00 PM","False","",""
"7th Sunday of Easter","2014-6-1","","","","True","",""
"Half Term","2014-6-1","","","","True","",""
"Rowing: Metropolitan Regatta, J18 (L6&U6)","2014-6-1","","","","True","",""
"Bronze DoE Canoeing Assessment Expedition (until 2nd June)","2014-6-1","","","","True","","SMN"
"Boarders return (evening)","2014-6-1","5:00:00 PM","","5:00:00 PM","False","",""
"WEEK B","2014-6-2","","","","True","",""
"Fourth Year Leadership Day","2014-6-2","","","","True","",""
"Bronze DoE Canoeing Assessment Expedition (until 2nd June)","2014-6-2","","","","True","",""
"Term resumes","2014-6-2","8:35:00 AM","","8:35:00 AM","False","",""
"3rd Year 2014 Common Entrance Exam week (until 6th June)","2014-6-2","9:00:00 AM","","9:00:00 AM","False","",""
"GCSE Edexcel Music Listening Paper, Room A214","2014-6-2","9:00:00 AM","","9:00:00 AM","False","",""
"New Views Play winners announced","2014-6-2","9:00:00 AM","","9:00:00 AM","False","","JHT"
"WEEK B","2014-6-3","","","","True","",""
"Lower Sixth return from revision leave","2014-6-3","8:35:00 AM","","8:35:00 AM","False","",""
"4th Year (group 1) visit to Oxford Magistrates' Court","2014-6-3","9:15:00 AM","","3:15:00 PM","False","",""
"Governors' Finance Committee meeting","2014-6-3","4:30:00 PM","","4:30:00 PM","False","",""
"WEEK B","2014-6-4","","","","True","",""
"Head's Assembly","2014-6-4","8:45:00 AM","","9:00:00 AM","False","",""
"CCF: RAF flying","2014-6-4","10:30:00 AM","","5:00:00 PM","False","",""
"PSHCE for 3rd Years","2014-6-4","12:00:00 PM","","1:00:00 PM","False","",""
"Cricket v South Oxon Amateurs: 1st (H)","2014-6-4","2:00:00 PM","","7:00:00 PM","False","",""
"Geography Society talk by James Fry, Agricultural Policy Advisor, Westridge Room","2014-6-4","4:00:00 PM","","5:00:00 PM","False","",""
"WEEK B","2014-6-5","","","","True","",""
"Lower School exams (until 9th June)","2014-6-5","9:00:00 AM","","9:00:00 AM","False","",""
"Discover Abingdon, Amey Theatre Foyer","2014-6-5","10:00:00 AM","","12:00:00 PM","False","",""
"Joint Drama Departments Planning Day","2014-6-5","10:15:00 AM","","4:00:00 PM","False","",""
"Tennis v OLA: U15A (A).","2014-6-5","3:00:00 PM","","4:00:00 PM","False","",""
"WEEK B","2014-6-6","","","","True","",""
"Lunchtime Informal Concert, Amey Theatre foyer","2014-6-6","1:10:00 PM","","1:10:00 PM","False","",""
"Detention Duty master: Mr Boyd","2014-6-6","5:00:00 PM","","7:00:00 PM","False","",""
"Cricket: Staff v Cheney (H)","2014-6-6","6:00:00 PM","","9:00:00 PM","False","",""
"Duty Masters: Miss Man and Mr English","2014-6-7","","","","True","",""
"Day trip to London Chinatown","2014-6-7","","","","True","",""
"SUS (School Uniform Scheme)","2014-6-7","11:00:00 AM","","12:00:00 PM","False","",""
"OA Club Committee Meeting, Lacies Court","2014-6-7","11:00:00 AM","","12:00:00 PM","False","",""
"Cricket v Haberdashers': 1st (1130), 3rd, 15A, 15B, 13A, 13B (H); 2nd, 14A, 14B, 12A, 12B (A)","2014-6-7","2:00:00 PM","","7:00:00 PM","False","",""
"John Roysse Lodge Meeting (in a classroom) & Dinner in Avernus","2014-6-7","2:00:00 PM","","2:00:00 PM","False","","Dinner in Avernus from 7.15 pm"
"Tennis OXIST: 1st VIII (MCS), U16 VIII (St Edward's), U15 VIII (Radley), U14 VIII (H).","2014-6-7","2:00:00 PM","","3:00:00 PM","False","",""
"Tennis v Radley: 2nd VI, U16B, U15B, U15C, U14B, U14C (A).","2014-6-7","2:00:00 PM","","3:00:00 PM","False","",""
"OA Club Year Group Reunions","2014-6-7","6:00:00 PM","","6:00:00 PM","False","","Drinks Reception in Lacies Court Garden from 6.00 pm followed by tours and buffet dinner in the Dining Hall at 7.45 pm"
"Pentecost (Whit Sunday)","2014-6-8","","","","True","",""
"Abingdon Vale Cricket Club v OAs v Common Room, AVCC ground","2014-6-8","11:30:00 AM","","11:30:00 AM","False","",""
"WEEK A","2014-6-9","","","","True","",""
"D&T Revision day for 5th Year","2014-6-9","10:00:00 AM","","3:00:00 PM","False","","DMH"
"WEEK A","2014-6-10","","","","True","",""
"Lower School lessons resume","2014-6-10","9:00:00 AM","","9:00:00 AM","False","",""
"4th Year (group 2) visit to Oxford Magistrates' Court","2014-6-10","9:15:00 AM","","3:15:00 PM","False","",""
"Tennis v Oratory: U13A, U13B, U12A, U12B (A).","2014-6-10","3:00:00 PM","","4:00:00 PM","False","",""
"4th Year Parents' Evening, Amey Theatre & Foyer","2014-6-10","5:30:00 PM","","5:30:00 PM","False","",""
"WEEK A","2014-6-11","","","","True","",""
"House Assembly","2014-6-11","8:45:00 AM","","9:00:00 AM","False","",""
"SUS (School Uniform Scheme)","2014-6-11","12:15:00 PM","","1:15:00 PM","False","",""
"Cricket v Abingdon Prep: 13A (H); 12A (A)","2014-6-11","2:00:00 PM","","6:00:00 PM","False","",""
"Cricket v Bloxham: 15A, 15B (A); 14A, 14B (H)","2014-6-11","2:00:00 PM","","6:00:00 PM","False","",""
"WEEK A","2014-6-12","","","","True","",""
"Junior Maths Olympiad","2014-6-12","9:00:00 AM","","9:00:00 AM","False","","JFH"
"4th Year Geography trip to Oxford","2014-6-12","9:00:00 AM","","9:00:00 AM","False","","ICF"
"Meeting for L6 Oxbridge Candidates, Amey Theatre","2014-6-12","1:00:00 PM","","1:00:00 PM","False","","BW"
"Tennis v Radley: U14A, U14B, U14C, U14D, U14E (A).","2014-6-12","3:00:00 PM","","4:00:00 PM","False","",""
"Parents' Prayer Group meeting, Chapel","2014-6-12","8:00:00 PM","","8:00:00 PM","False","",""
"Rugby fundraising event","2014-6-13","","","","True","",""
"WEEK A","2014-6-13","","","","True","",""
"Drama: 4th Year GCSE Drama Final Preparation lessons (JHT)","2014-6-13","9:55:00 AM","","10:50:00 AM","False","",""
"Drama: 4th Year GCSE Drama Final Preparation lessons (AKQ)","2014-6-13","12:10:00 PM","","1:05:00 PM","False","",""
"Lunchtime Informal Concert, Amey Theatre foyer","2014-6-13","1:10:00 PM","","1:10:00 PM","False","",""
"Tennis v Bradford Grammar: U15A, U15B (H)","2014-6-13","3:00:00 PM","","4:00:00 PM","False","",""
"Detention Duty master: Mr Cotton","2014-6-13","5:00:00 PM","","7:00:00 PM","False","",""
"UCAS 2 for L6 boys and parents, Mercers' Court","2014-6-13","5:30:00 PM","","5:30:00 PM","False","","APS"
"Duty Masters: Mr Swarbrick and Mrs O'Doherty","2014-6-14","","","","True","",""
"Rowing: Reading Amateur Regatta, J15-J18 (Yr. 4-U6)","2014-6-14","","","","True","",""
" Lower School Art Workshop","2014-6-14","9:30:00 AM","","12:30:00 PM","False","","EOD"
"Music: ABRSM Theory Examinations, Room A214","2014-6-14","10:00:00 AM","","10:00:00 AM","False","",""
"SUS (School Uniform Scheme)","2014-6-14","11:00:00 AM","","12:00:00 PM","False","",""
"Cricket v Berkhamsted: 1st (1130), 14A, 14B, 14C, 12A, 12B (H); 2nd, 15A, 15B, 15C, 13A, 13B (A)","2014-6-14","2:00:00 PM","","7:00:00 PM","False","",""
"Trinity Sunday","2014-6-15","","","","True","",""
"Rowing: Reading Amateur Regatta, J15-J18 (Yr. 4-U6)","2014-6-15","","","","True","",""
"DoE Bronze walking assessed expedition, FoD (until 16th June)","2014-6-15","9:00:00 AM","","9:00:00 AM","False","",""
"Athletics: County Championship, Middle &Upper School, Tilsley Park","2014-6-15","10:00:00 AM","","10:00:00 AM","False","",""
"WEEK B","2014-6-16","","","","True","",""
"Drama: 4th Year GCSE Scripted Tech/Dress 1, Drama Studio, (AKQ)","2014-6-16","9:55:00 AM","","11:10:00 AM","False","",""
"Preparatory Schools Swimming Gala, Sports Centre","2014-6-16","1:45:00 PM","","4:30:00 PM","False","",""
"Boarders' Chapel service and prizegiving","2014-6-16","6:00:00 PM","","6:00:00 PM","False","",""
"TVYO Strings & Leader Auditions, Music School","2014-6-16","7:00:00 PM","","7:00:00 PM","False","",""
"WEEK B","2014-6-17","","","","True","",""
"Rowing: Elite Match, 1st VIII (tbc)","2014-6-17","","","","True","",""
"3rd Year exams (until 20th June)","2014-6-17","9:00:00 AM","","9:00:00 AM","False","",""
"Tennis; Independent Schools League Junior Pairs at Eton. U14 A IV, U15A IV","2014-6-17","12:00:00 PM","","1:00:00 PM","False","",""
"Lower School Athletics Day at Tilsley Park","2014-6-17","1:30:00 PM","","4:00:00 PM","False","",""
"Athletics: multi-events match: Middle & Upper School at Radley","2014-6-17","2:30:00 PM","","2:30:00 PM","False","",""
" 1st year parents in for the iPad introduction, Hospitality Suite","2014-6-17","5:30:00 PM","","7:30:00 PM","False","",""
"TVYO Woodwind/Brass auditions, Music School","2014-6-17","7:00:00 PM","","7:00:00 PM","False","",""
"Last GCSE","2014-6-18","","","","True","",""
"WEEK B","2014-6-18","","","","True","",""
"Head's Assembly (3rd Yr. to attend, followed by exam)","2014-6-18","8:45:00 AM","","9:00:00 AM","False","",""
"A2 OCR Music Listening Paper, Sports Hall (tbc)","2014-6-18","9:00:00 AM","","9:00:00 AM","False","",""
"Drama: 4th Year GCSE Scripted Tech/Dress 2, Drama Studio, (JHT)","2014-6-18","9:55:00 AM","","11:10:00 AM","False","",""
"Maths talk: James Grime, Enigma Project on Codebreaking (for 2nd Years - in lessons)","2014-6-18","12:00:00 PM","","1:00:00 PM","False","",""
"SUS (School Uniform Scheme)","2014-6-18","12:15:00 PM","","1:15:00 PM","False","",""
"Cricket v Shiplake: 15B, 15C (H)","2014-6-18","3:00:00 PM","","6:00:00 PM","False","",""
"Full Governing Body meeting","2014-6-18","4:00:00 PM","","4:00:00 PM","False","",""
"Tennis v MCS: U13A, U13B, U12A, U12B (A).","2014-6-18","4:00:00 PM","","5:00:00 PM","False","",""
"Swimming: Abingdon School & SHSK v AVSC (H)","2014-6-18","6:00:00 PM","","8:00:00 PM","False","",""
"Corpus Christi","2014-6-19","","","","True","",""
"WEEK B","2014-6-19","","","","True","",""
"Lower School Rhineland trip (until 22nd June)","2014-6-19","","","","True","",""
"Drama: 4th Year GCSE Scripted/Dress Performance 1, Drama Studio","2014-6-19","9:00:00 AM","","11:10:00 AM","False","",""
"Maths talk: Dr Chris Good, University of Birmingham, ""Tying knots and Knotting ties"" (for L6 - in lessons)","2014-6-19","12:00:00 PM","","1:00:00 PM","False","",""
"Lower Sixth mock TSA and BMAT exam for Oxbridge Candidates, M ICT","2014-6-19","3:00:00 PM","","5:00:00 PM","False","","BW"
"Athletics: ISR Relays, Middle & Upper School at Newbury Athletic Club","2014-6-19","3:30:00 PM","","3:30:00 PM","False","",""
"Drama: 4th Year GCSE Scripted Assessed Performance, Drama Studio","2014-6-19","4:00:00 PM","","6:30:00 PM","False","",""
"Tennis v Cothill: U12A, U12B (A).","2014-6-19","4:00:00 PM","","5:00:00 PM","False","",""
"Lower Sixth Interviews Evening","2014-6-19","7:00:00 PM","","7:00:00 PM","False","",""
"WEEK B","2014-6-20","","","","True","",""
"Lower School Joint English and Drama Shakespeare Day, Amey Theatre","2014-6-20","","","","True","","EJW"
"Rowing: Senior Henley Preparation Training Camp (J18 (L6 & U6), Wycliffe, Gloucester (until 22nd June)","2014-6-20","","","","True","",""
"Lower School Shakespeare Day with English & Drama departments, 9am-4.15pm, Drama Studio, Ingham Room, Amey Theatre and Foyer","2014-6-20","9:00:00 AM","","4:15:00 PM","False","",""
"Genesis, Hospitality Suite","2014-6-20","9:30:00 AM","","5:30:00 PM","False","","MKTH"
"Lunchtime Informal Concert, Amey Theatre foyer","2014-6-20","1:10:00 PM","","1:10:00 PM","False","",""
"Detention Duty master: Mr O'Doherty","2014-6-20","5:00:00 PM","","7:00:00 PM","False","",""
"Greek play ""Antigone"", Bradfield (for 4th Yr & L6)","2014-6-20","7:00:00 PM","","7:00:00 PM","False","","CB"
"Duty Masters: Mrs Mansfield and Ms Byrne","2014-6-21","","","","True","",""
"AFU Summer School – individual appointments with JHT / AFU tutors, Department, 3rd year-U6 members of AFU  (until 3rd July)","2014-6-21","","","","True","",""
"Rowing: Marlow Regatta, J14-J18 (Yr.3-U6)","2014-6-21","","","","True","",""
"Memorial Service for  Keith Hasnip, Chapel","2014-6-21","10:30:00 AM","","10:30:00 AM","False","",""
"SUS (School Uniform Scheme)","2014-6-21","11:00:00 AM","","12:00:00 PM","False","",""
"Cricket v Radley College: 1st (1130), 16A, 14A, 14B, 14C, 13A (A); 2nd, 15A, 15B, 15C (H)","2014-6-21","2:00:00 PM","","7:00:00 PM","False","",""
"Tennis v Warwick School: 1st VI, 2nd VI, 3rd VI, U15A, U15B, U14A, U14B (A). U13A, U13B, U12A, U12B (H).","2014-6-21","2:00:00 PM","","3:00:00 PM","False","",""
"1st Sunday after Trinity","2014-6-22","","","","True","",""
"Rowing: Basher Regatta 2, J14-J16 (Yr.3-5)","2014-6-22","","","","True","",""
"DoE Silver walking assessed expedition, Brecon (until 25th June)","2014-6-22","2:00:00 PM","","2:00:00 PM","False","",""
"Maths Challenge final","2014-6-23","","","","True","",""
"WEEK A","2014-6-23","","","","True","",""
"3rd Year lessons resume","2014-6-23","8:35:00 AM","","8:35:00 AM","False","",""
"Careers profiling tests 4th Yr.(tbc), Sports Hall","2014-6-23","9:00:00 AM","","12:00:00 PM","False","","SEG"
"Music: ABRSM Examinations - requested week","2014-6-23","9:00:00 AM","","9:00:00 AM","False","",""
"Cricket: ESCA T20 U15 Regional Final","2014-6-23","10:00:00 AM","","4:00:00 PM","False","",""
"New Views Playwriting Festival: Rehearsed Readings of New Plays 1-4 for 4th Year Drama Scholars & L6 Theatre Studies, Drama Studio","2014-6-23","7:00:00 PM","","10:00:00 PM","False","",""
"WEEK A","2014-6-24","","","","True","",""
"Blenheim Palace Public Speaking Competition for some Lower School boys, Woodstock","2014-6-24","","","","True","","SW"
"Last A2 exam","2014-6-24","9:00:00 AM","","9:00:00 AM","False","",""
"3rd Year 2014 Induction Day, Amey Theatre & Foyer, Ingham Room, Drama Dept., Lacies Court Garden (Entertainment Suite if wet)","2014-6-24","9:00:00 AM","","4:00:00 PM","False","",""
"SUS (School Uniform Scheme)","2014-6-24","2:30:00 PM","","4:30:00 PM","False","",""
"Community Service Summer Tea Party, Dining Hall","2014-6-24","4:00:00 PM","","5:00:00 PM","False","","VEH"
"New Views Playwriting Festival: Rehearsed Readings of New Plays 5-8 for 4th Year Drama Scholars & L6 Theatre Studies, Drama Studio","2014-6-24","7:00:00 PM","","10:00:00 PM","False","",""
"WEEK A","2014-6-25","","","","True","",""
"House Assembly","2014-6-25","8:45:00 AM","","9:00:00 AM","False","",""
"Primary Schools' Mini Olympics, Sports Centre and Hospitality Suite","2014-6-25","9:00:00 AM","","9:00:00 AM","False","",""
"Tennis: St George's College Pairs Tournament (A).","2014-6-25","9:00:00 AM","","10:00:00 AM","False","",""
"SUS (School Uniform Scheme)","2014-6-25","12:15:00 PM","","1:15:00 PM","False","",""
