Thread ID: 15070140
Fiber ID: 68236160
Total: 6503.513376
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.31     49.339    20.183     0.000    29.156 17003064  *Kernel#public_send 
  0.31    101.911    19.861     0.000    82.050 10140616   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
  0.30     82.050    19.832     0.000    62.219 10140616   ActiveRecord::ConnectionHandling#connection_id 
  0.30     19.774    19.774     0.000     0.000  7045434   Regexp#=== 
  0.30     62.219    19.735     0.000    42.484 10140616   <Class::ActiveRecord::RuntimeRegistry>#connection_id 
  0.30     28.415    19.558     0.000     8.857  3042603   ActiveSupport::LogSubscriber#color 
  0.30     37.793    19.500     0.000    18.293  2028402   Arel::Nodes::SelectCore#initialize 
  0.30   1032.475    19.208     0.000  1013.267  2028405   ActiveSupport::Notifications::Instrumenter#instrument 
  0.29     19.074    19.074     0.000     0.000 24086418   Fixnum#+ 
  0.29     55.353    18.811     0.000    36.542  4056804   ActiveRecord::Relation#eager_loading? 
  0.29     18.785    18.785     0.000     0.000 14987422   ActiveRecord::Reflection::AssociationReflection#foreign_key 
  0.29     24.169    18.724     0.000     5.446  6113645   Arel::Visitors::ToSql#quote_table_name 
  0.28     47.851    18.208     0.000    29.643  4085759   Array#map! 
  0.28     65.735    17.924     0.000    47.811  2085280   ActiveRecord::QueryMethods#where! 
  0.28     41.869    17.895     0.000    23.974  2001944   ActiveRecord::Associations::AssociationScope#bind_value 
  0.27     17.685    17.685     0.000     0.000  2028402   Mysql2::Result#fields 
  0.27    123.034    17.682     0.000   105.352  6059262  *ActiveRecord::Delegation::ClassMethods#create 
  0.27     31.338    17.555     0.000    13.783  2028402   ActiveRecord::QueryMethods#build_order 
  0.27    464.231    17.516     0.000   446.715  4057317   ActiveRecord::SpawnMethods#merge 
  0.27     17.475    17.475     0.000     0.000 12170510   Module#name 
  0.27     17.423    17.423     0.000     0.000  6141642   ActiveRecord::QueryMethods#where_values= 
  0.27    164.717    17.421     0.000   147.296  6114158   ActiveRecord::SpawnMethods#spawn 
  0.26     61.679    17.162     0.000    44.518  6085215   ActiveSupport::Subscriber#event_stack 
  0.26     64.058    17.069     0.000    46.989  6991390   Object#presence 
  0.26     16.727    16.727     0.000     0.000 10088652   ActiveRecord::QueryMethods#bind_values 
  0.26     16.723    16.723     0.000     0.000  4998254   ActiveRecord::Associations::Association#reset 
  0.25     44.491    16.570     0.000    27.920  2000476   ActiveRecord::QueryMethods#extending! 
  0.25     16.508    16.508     0.000     0.000 13141840   NilClass#blank? 
  0.25     16.417    16.417     0.000     0.000 10359318   <Class::Hash>#[] 
  0.25     16.253    16.253     0.000     0.000 18279581   String#initialize_copy 
  0.25     37.912    16.034     0.000    21.878  6085212   <Class::Time>#now 
  0.25     87.219    15.937     0.000    71.282  2028402   MonitorMixin#mon_synchronize 
  0.24   5914.016    15.883     0.000  5898.133  4022051   ActiveRecord::Associations::SingularAssociation#reader 
  0.24     23.342    15.659     0.000     7.683  2000477   Arel::Table#initialize 
  0.24     21.878    15.594     0.000     6.284  6085212   Time#initialize 
  0.24     53.074    15.529     0.000    37.545  6991400  *Enumerable#inject 
  0.24    707.035    15.384     0.000   691.651  2028402   ActiveRecord::ConnectionAdapters::DatabaseStatements#to_sql 
  0.23     30.897    15.063     0.000    15.834  2028405   ActiveSupport::Notifications::Event#initialize 
  0.23     14.775    14.775     0.000     0.000  2028405   <Class::ActiveRecord::Base>#default_timezone 
  0.23    152.601    14.732     0.000   137.869  4996786   ActiveRecord::Associations::Association#set_inverse_instance 
  0.23     58.300    14.677     0.000    43.623  2999246   ActiveRecord::Associations::Association#initialize 
  0.23    201.141    14.636     0.000   186.505  2059264  *Arel::Visitors::ToSql#visit_Arel_Nodes_Equality 
  0.22     14.625    14.625     0.000     0.000  6085211   Array#join 
  0.22   5797.202    14.200     0.000  5783.002  1999008   ActiveRecord::Associations::Association#load_target 
  0.22     48.597    14.169     0.000    34.428  2028406   Array#- 
  0.22    665.037    14.149     0.000   650.888 22424710  *Arel::Visitors::Visitor#visit 
  0.22    104.172    14.104     0.000    90.068  2028405   ActiveSupport::Subscriber#start 
  0.22     14.096    14.096     0.000     0.000  8170044   ActiveRecord::QueryMethods#where_values 
  0.22     27.418    14.021     0.000    13.396  4056362   ActiveRecord::Relation::Merger#initialize 
  0.21    118.098    13.904     0.000   104.194  6991390   String#constantize 
  0.21    685.209    13.794     0.000   671.416  6057280   Enumerable#each_with_index 
  0.21     13.766    13.766     0.000     0.000  2028402   Float#to_default_s 
  0.21    164.193    13.692     0.000   150.501  2085280   ActiveRecord::QueryMethods#where 
  0.21     13.646    13.646     0.000     0.000 12000804   Fixnum#divmod 
  0.21     13.603    13.603     0.000     0.000  6058306   ActiveRecord::QueryMethods#bind_values= 
  0.21     33.343    13.569     0.000    19.774  7045333   String#blank? 
  0.21     13.562    13.562     0.000     0.000  9023686   Fixnum#to_default_s 
  0.21     13.462    13.462     0.000     0.000  8087664   ActiveRecord::Core::ClassMethods#arel_table 
  0.21     13.440    13.439     0.000     0.001  6991409  *Module#const_get 
  0.21     29.402    13.429     0.000    15.972  4030346   Object#blank? 
  0.21     22.692    13.368     0.000     9.325  7119826   ActiveRecord::Associations::Association#klass 
  0.20     97.431    12.963     0.000    84.468  2028402   Arel::SelectManager#initialize 
  0.20    458.059    12.904     0.000   445.156  2000476   ActiveRecord::Associations::AssociationScope#add_constraints 
  0.20     63.348    12.877     0.000    50.471  2028402   Arel::Visitors::ToSql#visit_Arel_Nodes_JoinSource 
  0.20     12.877    12.877     0.000     0.000  8143097   Symbol#to_s 
  0.19   5824.568    12.651     0.000  5811.917  1999008   ActiveRecord::Associations::Association#reload 
  0.19     20.218    12.647     0.000     7.571  3513116   <Class::ActiveRecord::ConnectionAdapters::Column>#value_to_integer 
  0.19     13.935    12.612     0.000     1.323  2028402   Arel::Nodes::SelectStatement#initialize 
  0.19     32.349    12.547     0.000    19.802  7997500   ActiveRecord::Reflection::AssociationReflection#inverse_name 
  0.19     12.496    12.496     0.000     0.000 10070081   ActiveRecord::Associations::Association#loaded? 
  0.19   1078.191    12.355     0.000  1065.837  2028405   ActiveRecord::ConnectionAdapters::Mysql2Adapter#execute 
  0.19     69.488    12.247     0.000    57.241  2028402   ActiveRecord::QueryMethods#build_select 
